mmsi;lon;lat;status;turn;speed;accuracy;course;heading;second;maneuver;spare_1;raim;radio;msg_type;repeat
249251000;34.492502;-35.06194;0;1.0;8.5;False;91.4;95;29;0;b'\x00';False;49154;1;0
265827240;16.76421;-33.156422;0;0.0;16.5;False;316.0;316;44;0;b'\x00';False;34425;1;0
257389000;24.651407;-34.778095;0;16.0;15.3;False;81.9;82;43;0;b'\x00';False;2240;3;0
477232800;19.627348;-35.010585;0;0.0;16.3;False;108.7;111;42;0;b'\x00';False;26704;1;0
601022020;31.030885;-29.862398;3;0.0;0.0;False;44.5;227;42;0;b'\x00';False;26704;1;0
601489000;21.22196;-34.835533;0;-128.0;10.0;False;292.0;511;33;0;b'\x00';False;851;3;0
477631300;6.250538;-36.612678;0;2.0;12.9;False;86.6;87;27;0;b'\x00';False;81920;1;0
319122200;23.48465;-35.51515;0;0.0;14.6;False;232.0;228;45;0;b'\x00';False;34474;1;0
538006545;29.014422;-32.523302;0;0.0;16.1;False;224.1;225;46;0;b'\x00';False;34485;1;0
538006922;27.716503;-33.665407;0;0.0;16.4;False;225.7;226;31;0;b'\x00';False;100025;1;0
538010445;13.855407;-31.953542;0;1.0;14.8;False;308.2;310;45;0;b'\x00';False;26704;1;0
636019992;20.906005;-34.940132;0;-1.0;11.9;False;261.2;260;45;0;b'\x00';False;26704;1;0
255864560;24.888682;-34.379085;0;127.0;10.2;False;264.4;265;44;0;b'\x00';False;0;3;0
538006609;21.52069;-35.03129;0;-4.0;11.7;False;70.2;72;31;0;b'\x00';False;49187;1;0
601939300;22.154838;-34.969712;0;-16.0;0.5;False;63.1;94;47;0;b'\x00';False;26704;1;0
601366500;18.422083;-33.904685;15;-128.0;0.0;False;321.6;511;47;0;b'\x00';False;34536;1;0
371172000;42.626517;-28.536233;0;0.0;18.3;False;244.0;243;45;0;b'\x00';False;2237;1;0
636022111;31.32355;-32.60193;0;0.0;17.4;False;62.4;64;47;0;b'\x00';False;67313;1;0
305306000;17.960448;-33.026977;0;-128.0;0.0;False;360.0;511;47;0;b'\x00';False;26704;1;0
247379500;29.534208;-33.205827;0;8.0;16.1;False;251.9;251;37;0;b'\x00';False;67317;1;0
258804000;26.201467;-34.605158;0;0.0;7.7;False;74.5;66;48;0;b'\x00';False;34551;1;0
538008173;19.362735;-35.155203;0;-2.0;10.8;False;93.3;92;47;0;b'\x00';False;26704;1;0
405000348;28.162758;-33.661177;0;0.0;6.0;False;56.5;54;26;0;b'\x00';False;198398;1;0
601986000;18.42585;-33.902422;15;-128.0;0.0;False;63.4;511;47;0;b'\x00';False;26704;1;0
538008298;19.216817;-35.074033;0;3.0;12.7;False;91.0;93;46;0;b'@';False;26704;1;0
257389000;24.65166;-34.778065;0;-18.0;15.3;False;81.7;81;46;0;b'\x00';False;7089;3;0
355288000;17.703878;-34.198405;0;0.0;19.7;False;314.4;315;47;0;b'\x00';False;2247;1;0
